Date, ,Name,Type,Details


Jan 1,Tuesday,New Year's Day,Federal Holiday, 
Jan 4,Friday,World Braille Day,Worldwide observance, 
Jan 6,Sunday,Epiphany,Christian, 
Jan 7,Monday,Orthodox Christmas Day,Orthodox, 
Jan 7,Monday,International Programmers' Day,Worldwide observance, 
Jan 13,Sunday,Stephen Foster Memorial Day,Observance, 
Jan 14,Monday,Orthodox New Year,Orthodox, 
Jan 18,Friday,Lee-Jackson Day,State holiday,Virginia
Jan 19,Saturday,Robert E. Lee's Birthday,State holiday,Florida
Jan 19,Saturday,Confederate Heroes' Day,State holiday,Texas
Jan 20,Sunday,World Religion Day,Worldwide observance, 
Jan 21,Monday,Tu Bishvat/Tu B'Shevat,Jewish holiday, 
Jan 21,Monday,Martin Luther King Jr. Day,Federal Holiday, 
Jan 21,Monday,Robert E. Lee's Birthday,State holiday,"Alabama, Mississippi"
Jan 21,Monday,Idaho Human Rights Day,State holiday,Idaho
Jan 21,Monday,Civil Rights Day,State holiday,"Arizona, New Hampshire"
Jan 26,Saturday,International Customs Day,Worldwide observance, 
Jan 27,Sunday,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance, 
Jan 27,Sunday,World Leprosy Day,Worldwide observance, 
Jan 29,Tuesday,Kansas Day,Observance, 

Feb 1,Friday,National Freedom Day,Observance, 
Feb 1,Friday,National Wear Red Day,Observance, 
Feb 2,Saturday,World Wetlands Day,Worldwide observance, 
Feb 2,Saturday,Groundhog Day,Observance, 
Feb 3,Sunday,Super Bowl,Sporting event, 
Feb 4,Monday,World Cancer Day,United Nations observance, 
Feb 4,Monday,Rosa Parks Day,Local observance,"California, Missouri"
Feb 5,Tuesday,Chinese New Year,Observance, 
Feb 6,Wednesday,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance, 
Feb 11,Monday,International Day of Women and Girls in Science,United Nations observance, 
Feb 11,Monday,World Day of the Sick,Worldwide observance, 
Feb 12,Tuesday,Lincoln's Birthday,State holiday,"CT, IL, MO, NY"
Feb 12,Tuesday,Lincoln's Birthday,Local observance,Florida
Feb 13,Wednesday,World Radio Day,United Nations observance, 
Feb 14,Thursday,Valentine's Day,Observance, 
Feb 14,Thursday,Statehood Day,Local observance,Arizona
Feb 15,Friday,Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI"
Feb 16,Saturday,Elizabeth Peratrovich Day,Local observance,Alaska
Feb 18,Monday,Presidents' Day,Federal Holiday,"All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI"
Feb 18,Monday,Daisy Gatson Bates Day,State holiday,Arkansas
Feb 20,Wednesday,World Day of Social Justice,United Nations observance, 
Feb 21,Thursday,International Mother Language Day,United Nations observance, 
Feb 28,Thursday,Linus Pauling Day,Local observance,Oregon

Mar 1,Friday,Zero Discrimination Day,United Nations observance, 
Mar 1,Friday,Self-Injury Awareness Day,Worldwide observance, 
Mar 1,Friday,St. David's Day,"Observance, Christian", 
Mar 1,Friday,Read Across America Day,Observance, 
Mar 1,Friday,Employee Appreciation Day,Observance, 
Mar 2,Saturday,Texas Independence Day,State holiday,Texas
Mar 3,Sunday,World Wildlife Day,United Nations observance, 
Mar 4,Monday,Maha Shivaratri,Hindu Holiday, 
Mar 4,Monday,Casimir Pulaski Day,Local observance,Illinois*
Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,"Alabama**, Louisiana"
Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,Florida*
Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,"Observance, Christian", 
Mar 5,Tuesday,Town Meeting Day,State holiday,Vermont
Mar 6,Wednesday,Ash Wednesday,Christian, 
Mar 8,Friday,International Women's Day,United Nations observance, 
Mar 10,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time, 
Mar 14,Thursday,World Kidney Day,Worldwide observance, 
Mar 17,Sunday,St. Patrick's Day,"Observance, Christian", 
Mar 17,Sunday,Evacuation Day,State holiday,Massachusetts**
Mar 18,Monday,Evacuation Day observed,State holiday,Massachusetts**
Mar 20,Wednesday,March Equinox,Season, 
Mar 20,Wednesday,International Day of Happiness,United Nations observance, 
Mar 21,Thursday,Holi,Hindu Holiday, 
Mar 21,Thursday,Purim,Jewish holiday, 
Mar 21,Thursday,International Day for the Elimination of Racial Discrimination,United Nations observance, 
Mar 21,Thursday,World Poetry Day,United Nations observance, 
Mar 21,Thursday,International Day of Nowruz,United Nations observance, 
Mar 21,Thursday,World Down Syndrome Day,United Nations observance, 
Mar 21,Thursday,International Day of Forests,United Nations observance, 
Mar 22,Friday,World Water Day,United Nations observance, 
Mar 23,Saturday,World Meteorological Day,United Nations observance, 
Mar 24,Sunday,World Tuberculosis Day,United Nations observance, 
Mar 24,Sunday,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance, 
Mar 25,Monday,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance, 
Mar 25,Monday,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance, 
Mar 25,Monday,Maryland Day,Local observance,Maryland
Mar 25,Monday,Seward's Day,State holiday,Alaska
Mar 26,Tuesday,Prince Jonah Kuhio Kalanianaole Day,State holiday,Hawaii
Mar 29,Friday,National Vietnam War Veterans Day,Observance, 
Mar 30,Saturday,Earth Hour,Worldwide observance, 
Mar 31,Sunday,César Chávez Day,State holiday,"AZ**, CA**, CO***, MI**, NM**, NV**, TX***, UT**, WA**"

Apr 1,Monday,April Fool's Day,Worldwide observance, 
Apr 1,Monday,César Chávez Day observed,State holiday,California**
Apr 2,Tuesday,World Autism Awareness Day,United Nations observance, 
Apr 2,Tuesday,Pascua Florida Day,Local observance,Florida
Apr 3,Wednesday,Isra and Mi'raj,Muslim, 
Apr 4,Thursday,United Nations' Mine Awareness Day,United Nations observance, 
Apr 6,Saturday,International Day of Sport for Development and Peace,United Nations observance, 
Apr 6,Saturday,National Tartan Day,Observance, 
Apr 7,Sunday,United Nations' World Health Day,United Nations observance, 
Apr 7,Sunday,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance, 
Apr 9,Tuesday,National Library Workers' Day,Observance, 
Apr 12,Friday,International Day of Human Space Flight,United Nations observance, 
Apr 13,Saturday,Thomas Jefferson's Birthday,Observance, 
Apr 14,Sunday,Palm Sunday,Christian, 
Apr 15,Monday,Tax Day,Observance, 
Apr 15,Monday,Father Damien Day,Local observance,Hawaii
Apr 15,Monday,Patriot's Day,State holiday,"Maine, Massachusetts"
Apr 15,Monday,Boston Marathon,Sporting event, 
Apr 16,Tuesday,Emancipation Day,State holiday,District of Columbia
Apr 18,Thursday,Maundy Thursday,Christian, 
Apr 18,Thursday,International Day for Monuments and Sites,Worldwide observance, 
Apr 19,Friday,Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***"
Apr 20,Saturday,Holy Saturday,Christian, 
Apr 20,Saturday,Passover (first day),Jewish holiday, 
Apr 20,Saturday,Chinese Language Day,United Nations observance, 
Apr 21,Sunday,Easter Sunday,"Observance, Christian", 
Apr 21,Sunday,San Jacinto Day,State holiday,Texas
Apr 22,Monday,Earth Day,United Nations observance, 
Apr 22,Monday,Easter Monday,"Observance, Christian", 
Apr 22,Monday,Oklahoma Day,Local observance,Oklahoma
Apr 22,Monday,Confederate Memorial Day,State holiday,Alabama
Apr 22,Monday,State Holiday,State holiday,Georgia
Apr 23,Tuesday,World Book and Copyright Day,United Nations observance, 
Apr 23,Tuesday,English Language Day,United Nations observance, 
Apr 24,Wednesday,Administrative Professionals Day,Observance, 
Apr 25,Thursday,World Malaria Day,United Nations observance, 
Apr 25,Thursday,Take our Daughters and Sons to Work Day,Observance, 
Apr 26,Friday,Orthodox Good Friday,Orthodox, 
Apr 26,Friday,World Intellectual Property Day,United Nations observance, 
Apr 26,Friday,International Chernobyl Disaster Remembrance Day,United Nations observance, 
Apr 26,Friday,Arbor Day,State holiday,Nebraska
Apr 26,Friday,Confederate Heroes' Day,Local observance,Florida
Apr 27,Saturday,Last Day of Passover,Jewish holiday, 
Apr 27,Saturday,Orthodox Holy Saturday,Orthodox, 
Apr 28,Sunday,Orthodox Easter,Orthodox, 
Apr 28,Sunday,World Day for Safety and Health at Work,United Nations observance, 
Apr 29,Monday,Orthodox Easter Monday,Orthodox, 
Apr 29,Monday,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance, 
Apr 29,Monday,Confederate Memorial Day,State holiday,Mississippi
Apr 30,Tuesday,International Jazz Day,United Nations observance, 

May 1,Wednesday,Yom HaShoah,Jewish commemoration, 
May 1,Wednesday,Law Day,Observance, 
May 1,Wednesday,Loyalty Day,Observance, 
May 1,Wednesday,Lei Day,Local observance,Hawaii
May 2,Thursday,World Tuna Day,United Nations observance, 
May 2,Thursday,National Day of Prayer,Observance, 
May 3,Friday,World Press Freedom Day,United Nations observance, 
May 3,Friday,Kentucky Oaks,Sporting event, 
May 4,Saturday,Kent State Shootings Remembrance,Local observance,Ohio
May 4,Saturday,Kentucky Derby,Sporting event, 
May 4,Saturday,Rhode Island Independence Day,Local observance,Rhode Island
May 4,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance, 
May 5,Sunday,Cinco de Mayo,Observance, 
May 6,Monday,Ramadan Starts,Muslim, 
May 6,Monday,National Nurses Day,Observance, 
May 8,Wednesday,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance, 
May 8,Wednesday,World Ovarian Cancer Day,Worldwide observance, 
May 8,Wednesday,Truman Day,State holiday,Missouri
May 9,Thursday,Yom Ha'atzmaut,Jewish holiday, 
May 10,Friday,Confederate Memorial Day,State holiday,South Carolina
May 10,Friday,Confederate Memorial Day,Local observance,North Carolina
May 10,Friday,Military Spouse Appreciation Day,Observance, 
May 11,Saturday,World Migratory Bird Day,United Nations observance, 
May 12,Sunday,International Nurses Day,Worldwide observance, 
May 12,Sunday,Mother's Day,Observance, 
May 15,Wednesday,International Day of Families,United Nations observance, 
May 15,Wednesday,Peace Officers Memorial Day,Observance, 
May 17,Friday,World Information Society Day,United Nations observance, 
May 17,Friday,National Defense Transportation Day,Observance, 
May 18,Saturday,Armed Forces Day,Observance, 
May 18,Saturday,Preakness Stakes,Sporting event, 
May 19,Sunday,Day of Vesak,United Nations observance, 
May 20,Monday,World Autoimmune / Autoinflammatory Arthritis Day,Worldwide observance, 
May 21,Tuesday,World Day for Cultural Diversity for Dialogue and Development,United Nations observance, 
May 22,Wednesday,International Day for Biological Diversity,United Nations observance, 
May 22,Wednesday,Emergency Medical Services for Children Day,Observance, 
May 22,Wednesday,National Maritime Day,Observance, 
May 22,Wednesday,Harvey Milk Day,Local observance,California
May 23,Thursday,Lag BaOmer,Jewish holiday, 
May 23,Thursday,International Day to End Obstetric Fistula,United Nations observance, 
May 25,Saturday,African Liberation Day,Worldwide observance, 
May 25,Saturday,National Missing Children's Day,Observance, 
May 27,Monday,Memorial Day,Federal Holiday, 
May 27,Monday,Jefferson Davis' Birthday,Local observance,Mississippi
May 29,Wednesday,International Day of United Nations Peacekeepers,United Nations observance, 
May 30,Thursday,Ascension Day,Christian, 
May 31,Friday,World No Tobacco Day,United Nations observance, 

Jun 1,Saturday,Lailat al-Qadr,Muslim, 
Jun 1,Saturday,Global Day of Parents,United Nations observance, 
Jun 1,Saturday,Statehood Day,Local observance,"Kentucky, Tennessee"
Jun 3,Monday,Jefferson Davis' Birthday,State holiday,Alabama
Jun 3,Monday,Jefferson Davis' Birthday,Local observance,Florida
Jun 4,Tuesday,Eid al-Fitr,Muslim, 
Jun 4,Tuesday,International Day of Innocent Children Victims of Aggression,United Nations observance, 
Jun 5,Wednesday,World Environment Day,United Nations observance, 
Jun 6,Thursday,D-Day,Observance, 
Jun 8,Saturday,World Oceans Day,United Nations observance, 
Jun 8,Saturday,Belmont Stakes,Sporting event, 
Jun 9,Sunday,Pentecost,Christian, 
Jun 9,Sunday,Shavuot,Jewish holiday, 
Jun 10,Monday,Whit Monday,Christian, 
Jun 11,Tuesday,Kamehameha Day,State holiday,Hawaii
Jun 12,Wednesday,World Day Against Child Labour,United Nations observance, 
Jun 13,Thursday,International Albinism Awareness Day,United Nations observance, 
Jun 14,Friday,World Blood Donor Day,United Nations observance, 
Jun 14,Friday,Army Birthday,Observance, 
Jun 14,Friday,Flag Day,Observance, 
Jun 15,Saturday,World Elder Abuse Awareness Day,United Nations observance, 
Jun 16,Sunday,Trinity Sunday,Christian, 
Jun 16,Sunday,International Day of Family Remittances,United Nations observance, 
Jun 16,Sunday,Father's Day,Observance, 
